Employee #,Username,Password
10001,staff1,staff1
10002,staff2,staff2
10003,staff3,staff3
10004,staff4,staff4
10005,staff5,staff5
10006,staff6,staff6
10007,staff7,staff7
10008,staff8,staff8
10009,staff9,staff9
10010,staff10,staff10
10011,staff11,staff11
10012,staff12,staff12
10013,staff13,staff13
10014,staff14,staff14
10015,staff15,staff15
10016,staff16,staff16
10017,staff17,staff17
10018,staff18,staff18
10019,staff19,staff19
10020,staff20,staff20
10021,staff21,staff21
10022,staff22,staff22
10023,staff23,staff23
10024,staff24,staff24
10025,staff25,staff25
10026,staff26,staff26
10027,staff27,staff27
10028,staff28,staff28
10029,staff29,staff29
10030,staff30,staff30
10031,staff31,staff31
10032,staff32,staff32
10033,staff33,staff33
10034,staff34,staff34
